vol_number,vol_name,vol_type_primary,activity_evidence,last_known_eruption,elevation_m,lat,lon
322030,Blue Lake Crater,Maar,Eruption Dated,680 CE,1230,44.411,-121.774
322060,Belknap,Shield(s),Eruption Dated,480 CE,2095,44.285,-121.841
322070,Three Sisters,Complex,Eruption Dated,440 CE,3159,44.133,-121.767
322110,Newberry,Shield,Eruption Dated,690 CE,2434,43.722,-121.229
323010,Shasta,Stratovolcano,Eruption Observed,1250 CE,4317,41.409,-122.193
323020,Medicine Lake,Shield,Eruption Dated,1060 CE,2412,41.611,-121.554
323080,Lassen Volcanic Center,Stratovolcano,Eruption Observed,1917 CE,3187,40.492,-121.508
323110,Mono Lake Volcanic Field,Pyroclastic cone(s),Eruption Dated,1790 CE,2121,38,-119.03
323120,Mono-Inyo Craters,Lava dome(s),Eruption Dated,1380 CE,2796,37.804,-119.029
323150,Mammoth Mountain,Lava dome(s),Eruption Dated,1260 CE,3369,37.631,-119.032
323200,Salton Buttes,Lava dome(s),Eruption Dated,210 CE,-40,33.197,-115.616
327050,Black Rock Desert,Volcanic field,Eruption Dated,1290 CE,1800,38.97,-112.5
329010,Uinkaret Field,Volcanic field,Eruption Dated,1100 CE,1555,36.38,-113.13
329020,San Francisco Volcanic Field,Pyroclastic cone,Eruption Dated,1075 CE,3850,35.347,-111.678
331020,CoAxial Segment,Submarine,Eruption Observed,1993 CE,-2400,46.52,-129.58
331021,Axial Seamount,Submarine,Eruption Observed,2015 CE,-1410,45.95,-130
331030,Cleft Segment,Submarine,Eruption Observed,1986 CE,-2140,44.83,-130.3
331031,North Gorda Ridge Segment,Submarine,Eruption Observed,1996 CE,-3000,42.67,-126.78
332000,Loihi,Submarine,Eruption Observed,1996 CE,-975,18.92,-155.27
332010,Kilauea,Shield,Eruption Observed,2021 CE,1222,19.421,-155.287
332020,Mauna Loa,Shield,Eruption Observed,1984 CE,4170,19.475,-155.608
332040,Hualalai,Shield,Eruption Observed,1801 CE,2523,19.692,-155.87
332060,Haleakala,Shield,Eruption Dated,1750 CE,3055,20.708,-156.25
333010,Teahitia,Submarine,Eruption Dated,1985 CE,-1743,-17.564,-148.821
333020,Rocard,Submarine,Eruption Dated,1972 CE,-2515,-17.662,-148.586
333030,Moua Pihaa,Submarine,Eruption Dated,1970 CE,-312,-18.325,-148.525
333060,Macdonald,Submarine,Eruption Observed,1989 CE,-39,-28.98,-140.25
334040,Northern EPR at 10.7°N,Submarine,Eruption Observed,2003 CE,-2900,10.73,-103.58
334050,Northern EPR at 9.8°N,Submarine,Eruption Observed,2006 CE,-2500,9.83,-104.3
334070,Galapagos Rift,Submarine,Eruption Observed,1996 CE,-2430,0.792,-86.15
334100,Southern EPR at 8°S,Submarine,Eruption Observed,1969 CE,-2800,-8.27,-107.95
334120,Southern EPR-Segment K,Submarine,Eruption Observed,1990 CE,-2566,-17.436,-113.206
334130,Southern EPR-Segment J,Submarine,Eruption Dated,1890 CE,-2650,-18.175,-113.35
334140,Southern EPR-Segment I,Submarine,Eruption Dated,1915 CE,-2600,-18.53,-113.42
341020,Barcena,Pyroclastic cone(s),Eruption Observed,1953 CE,332,19.3,-110.82
341021,Socorro,Shield,Eruption Observed,1994 CE,1050,18.78,-110.95
341030,Ceboruco,Stratovolcano,Eruption Observed,1875 CE,2280,21.125,-104.508
341040,Colima,Stratovolcano(es),Eruption Observed,2019 CE,3850,19.514,-103.62
341060,Michoacan-Guanajuato,Pyroclastic cone(s),Eruption Observed,1952 CE,3860,19.85,-101.75
341062,Jocotitlan,Stratovolcano,Eruption Dated,1270 CE,3900,19.73,-99.758
341080,Chichinautzin,Volcanic field,Eruption Dated,400 CE,3930,19.08,-99.13
341090,Popocatepetl,Stratovolcano(es),Eruption Observed,2021 CE,5393,19.023,-98.622
341096,Cofre de Perote,Shield(s),Eruption Dated,1150 CE,4282,19.492,-97.15
341100,"Orizaba, Pico de",Stratovolcano,Eruption Observed,1846 CE,5564,19.03,-97.27
341110,San Martin,Shield,Eruption Observed,1796 CE,1650,18.57,-95.2
341120,"Chichon, El",Lava dome(s),Eruption Observed,1982 CE,1150,17.36,-93.228
341130,Tacana,Stratovolcano,Eruption Observed,1986 CE,4064,15.132,-92.109
342030,Santa Maria,Stratovolcano,Eruption Observed,2021 CE,3745,14.757,-91.552
342040,Almolonga,Stratovolcano,Eruption Observed,1818 CE,3173,14.797,-91.519
342060,Atitlan,Stratovolcano(es),Eruption Observed,1853 CE,3535,14.583,-91.186
342080,Acatenango,Stratovolcano(es),Eruption Observed,1972 CE,3976,14.501,-90.876
342090,Fuego,Stratovolcano(es),Eruption Observed,2021 CE,3763,14.473,-90.88
342110,Pacaya,Complex,Eruption Observed,2021 CE,2569,14.382,-90.601
343020,Santa Ana,Stratovolcano,Eruption Observed,2005 CE,2381,13.853,-89.63
343030,Izalco,Stratovolcano,Eruption Observed,1966 CE,1950,13.813,-89.633
343050,San Salvador,Stratovolcano,Eruption Observed,1917 CE,1893,13.734,-89.294
343060,Ilopango,Caldera,Eruption Observed,1880 CE,450,13.672,-89.053
343100,San Miguel,Stratovolcano,Eruption Observed,2020 CE,2130,13.434,-88.269
344010,Cosiguina,Stratovolcano,Eruption Observed,1859 CE,872,12.98,-87.57
344020,San Cristobal,Stratovolcano,Eruption Observed,2021 CE,1745,12.702,-87.004
344040,Telica,Stratovolcano(es),Eruption Observed,2020 CE,1036,12.606,-86.84
344070,"Negro, Cerro",Pyroclastic cone(s),Eruption Observed,1999 CE,728,12.506,-86.702
344080,"Pilas, Las",Complex,Eruption Observed,1954 CE,1088,12.495,-86.688
344090,Momotombo,Stratovolcano,Eruption Observed,2016 CE,1270,12.423,-86.539
344092,Nejapa-Miraflores,Fissure vent(s),Eruption Dated,1060 CE,360,12.12,-86.32
344100,Masaya,Caldera,Eruption Observed,2021 CE,594,11.985,-86.165
344120,Concepcion,Stratovolcano,Eruption Observed,2011 CE,1700,11.538,-85.622
345020,Rincon de la Vieja,Complex,Eruption Observed,2020 CE,1916,10.83,-85.324
345030,Miravalles,Stratovolcano,Eruption Observed,1946 CE,2028,10.748,-85.153
345033,Arenal,Stratovolcano,Eruption Observed,2010 CE,1670,10.463,-84.703
345040,Poas,Stratovolcano,Eruption Observed,2019 CE,2708,10.2,-84.233
345060,Irazu,Stratovolcano,Eruption Observed,1994 CE,3432,9.979,-83.852
345070,Turrialba,Stratovolcano,Eruption Observed,2020 CE,3340,10.025,-83.767
346010,Baru,Stratovolcano,Eruption Observed,1550 CE,3474,8.808,-82.543
351012,"Bravo, Cerro",Stratovolcano,Eruption Dated,1720 CE,3985,5.091,-75.293
351020,"Ruiz, Nevado del",Stratovolcano,Eruption Observed,2021 CE,5279,4.892,-75.324
351030,"Tolima, Nevado del",Stratovolcano,Eruption Observed,1943 CE,5215,4.658,-75.33
351040,Machin,Stratovolcano,Eruption Dated,1180 CE,2749,4.487,-75.389
351050,"Huila, Nevado del",Stratovolcano,Eruption Observed,2012 CE,5364,2.93,-76.03
351060,Purace,Stratovolcano(es),Eruption Observed,1977 CE,4650,2.32,-76.4
351070,Dona Juana,Stratovolcano,Eruption Observed,1906 CE,4137,1.5,-76.936
351080,Galeras,Complex,Eruption Observed,2014 CE,4276,1.22,-77.37
351100,Cumbal,Stratovolcano,Eruption Observed,1926 CE,4764,0.95,-77.87
352003,Cuicocha,Caldera,Eruption Dated,650 CE,3246,0.308,-78.364
352006,Cayambe,Compound,Eruption Observed,1786 CE,5790,0.029,-77.986
352010,Reventador,Stratovolcano,Eruption Observed,2021 CE,3562,-0.077,-77.656
352011,Pululahua,Caldera,Eruption Dated,290 CE,3356,0.038,-78.463
352020,Guagua Pichincha,Stratovolcano,Eruption Observed,2002 CE,4784,-0.171,-78.598
352022,Chacana,Caldera,Eruption Observed,1773 CE,4643,-0.375,-78.25
352030,Antisana,Stratovolcano,Eruption Observed,1802 CE,5753,-0.481,-78.141
352050,Cotopaxi,Stratovolcano,Eruption Observed,2016 CE,5911,-0.677,-78.436
352060,Quilotoa,Caldera,Eruption Dated,1280 CE,3914,-0.85,-78.9
352071,Chimborazo,Stratovolcano,Eruption Dated,550 CE,6310,-1.464,-78.815
352080,Tungurahua,Stratovolcano,Eruption Observed,2016 CE,5023,-1.467,-78.442
352090,Sangay,Stratovolcano,Eruption Observed,2021 CE,5286,-2.005,-78.341
353010,Fernandina,Shield,Eruption Observed,2020 CE,1476,-0.37,-91.55
353011,Ecuador,Shield,Eruption Dated,1150 CE,790,-0.02,-91.546
353020,Wolf,Shield,Eruption Observed,2015 CE,1710,0.02,-91.35
353030,Darwin,Shield,Eruption Dated,1813 CE,1330,-0.18,-91.28
353040,Alcedo,Shield,Eruption Observed,1993 CE,1130,-0.43,-91.12
353050,"Negra, Sierra",Shield,Eruption Observed,2018 CE,1124,-0.83,-91.17
353060,"Azul, Cerro",Shield,Eruption Observed,2008 CE,1640,-0.92,-91.408
353070,Pinta,Shield,Eruption Observed,1928 CE,780,0.58,-90.75
353080,Marchena,Shield,Eruption Observed,1991 CE,343,0.33,-90.47
353090,Santiago,Shield,Eruption Observed,1906 CE,920,-0.22,-90.77
354004,Andahua-Orcopampa,Pyroclastic cone(s),Eruption Dated,1490 CE,4713,-15.42,-72.33
354006,Sabancaya,Stratovolcano(es),Eruption Observed,2021 CE,5960,-15.787,-71.857
354010,"Misti, El",Stratovolcano,Eruption Observed,1985 CE,5822,-16.294,-71.409
354020,Ubinas,Stratovolcano,Eruption Observed,2019 CE,5672,-16.355,-70.903
354030,Huaynaputina,Stratovolcano,Eruption Observed,1600 CE,4850,-16.608,-70.85
354031,Ticsani,Lava dome(s),Eruption Dated,1800 CE,5408,-16.755,-70.595
354040,Tutupaca,Stratovolcano(es),Eruption Observed,1802 CE,5801,-17.026,-70.372
355012,Parinacota,Stratovolcano,Eruption Dated,290 CE,6336,-18.166,-69.142
355020,Guallatiri,Stratovolcano,Eruption Observed,1960 CE,6071,-18.42,-69.092
355030,Isluga,Stratovolcano,Eruption Observed,1913 CE,5550,-19.15,-68.83
355040,Irruputuncu,Stratovolcano,Eruption Observed,1995 CE,5163,-20.73,-68.55
355050,Olca-Paruma,Stratovolcano(es),Eruption Observed,Unknown,5705,-20.939,-68.413
355070,San Pedro-San Pablo,Stratovolcano(es),Eruption Observed,1960 CE,6142,-21.888,-68.391
355090,Putana,Stratovolcano,Eruption Observed,1810 CE,5884,-22.557,-67.853
355100,Lascar,Stratovolcano(es),Eruption Observed,2017 CE,5592,-23.37,-67.73
355110,Llullaillaco,Stratovolcano,Eruption Observed,1877 CE,6739,-24.72,-68.53
355130,"Ojos del Salado, Nevados",Stratovolcano,Eruption Dated,750 CE,6879,-27.109,-68.541
357010,Tupungatito,Stratovolcano,Eruption Observed,1987 CE,5660,-33.425,-69.797
357020,San Jose,Stratovolcano(es),Eruption Observed,1960 CE,6070,-33.789,-69.895
357021,Maipo,Caldera,Eruption Observed,1912 CE,5323,-34.164,-69.832
357030,Tinguiririca,Stratovolcano,Eruption Observed,1917 CE,4280,-34.814,-70.352
357040,Planchon-Peteroa,Stratovolcano(es),Eruption Observed,2019 CE,3977,-35.223,-70.568
357050,Descabezado Grande,Stratovolcano(es),Eruption Observed,1933 CE,3953,-35.58,-70.75
357060,"Azul, Cerro",Stratovolcano,Eruption Observed,1967 CE,3788,-35.653,-70.761
357070,"Chillan, Nevados de",Stratovolcano,Eruption Observed,2021 CE,3180,-36.868,-71.378
357072,Tromen,Stratovolcano(es),Eruption Observed,1822 CE,4114,-37.144,-70.033
357080,Antuco,Stratovolcano,Eruption Observed,1869 CE,2979,-37.406,-71.349
357090,Copahue,Stratovolcano,Eruption Observed,2020 CE,2953,-37.856,-71.183
357091,Callaqui,Stratovolcano,Eruption Observed,1980 CE,3164,-37.92,-71.45
357100,Lonquimay,Stratovolcano,Eruption Observed,1990 CE,2832,-38.379,-71.586
357110,Llaima,Stratovolcano,Eruption Observed,2009 CE,3125,-38.692,-71.729
357111,Sollipulli,Caldera,Eruption Dated,1240 CE,2282,-38.97,-71.52
357120,Villarrica,Stratovolcano,Eruption Observed,2021 CE,2847,-39.42,-71.93
357121,Quetrupillan,Stratovolcano,Eruption Dated,255 CE,2360,-39.496,-71.722
357122,Lanin,Stratovolcano,Eruption Dated,560 CE,3776,-39.637,-71.502
357123,Huanquihue Group,Stratovolcano(es),Eruption Dated,1750 CE,2189,-39.887,-71.58
357130,Mocho-Choshuenco,Stratovolcano(es),Eruption Observed,1937 CE,2422,-39.927,-72.027
357140,Carran-Los Venados,Pyroclastic cone(s),Eruption Observed,1979 CE,1114,-40.35,-72.07
357150,Puyehue-Cordon Caulle,Stratovolcano,Eruption Observed,2012 CE,2236,-40.59,-72.117
357160,Puntiagudo-Cordon Cenizos,Stratovolcano,Eruption Observed,1850 CE,2493,-40.969,-72.264
358010,Osorno,Stratovolcano,Eruption Observed,1869 CE,2659,-41.105,-72.496
358020,Calbuco,Stratovolcano,Eruption Observed,2015 CE,1974,-41.33,-72.618
358022,Yate,Stratovolcano,Eruption Dated,1090 CE,2187,-41.755,-72.396
358023,Hornopiren,Stratovolcano,Eruption Dated,340 CE,1572,-41.874,-72.431
358030,Huequi,Lava dome(s),Eruption Observed,1920 CE,1318,-42.377,-72.578
358040,Michinmahuida,Stratovolcano,Eruption Observed,1835 CE,2452,-42.799,-72.445
358041,Chaiten,Caldera,Eruption Observed,2011 CE,1122,-42.833,-72.646
358052,Melimoyu,Stratovolcano,Eruption Dated,200 CE,2400,-44.08,-72.88
358054,Mentolat,Stratovolcano,Eruption Observed,1710 CE,1660,-44.7,-73.08
358056,Maca,Stratovolcano,Eruption Dated,1560 CE,2960,-45.1,-73.17
358057,"Hudson, Cerro",Stratovolcano,Eruption Observed,2011 CE,1905,-45.9,-72.97
358060,Lautaro,Stratovolcano,Eruption Observed,1979 CE,3542,-49.019,-73.504
358063,Reclus,Pyroclastic cone,Eruption Observed,1908 CE,1000,-50.964,-73.585
358070,"Burney, Monte",Stratovolcano,Eruption Observed,1910 CE,1758,-52.33,-73.4
358090,Fueguino,Lava dome(s),Eruption Observed,1820 CE,157,-54.97,-70.262
360010,Saba,Stratovolcano,Eruption Observed,1640 CE,887,17.63,-63.23
360020,"Quill, The",Stratovolcano,Eruption Dated,250 CE,601,17.478,-62.96
360030,Liamuiga,Stratovolcano,Eruption Dated,160 CE,1156,17.37,-62.8
360050,Soufriere Hills,Stratovolcano,Eruption Observed,2013 CE,915,16.72,-62.18
360060,Soufriere Guadeloupe,Stratovolcano,Eruption Observed,1977 CE,1467,16.044,-61.664
360100,"Trois Pitons, Morne",Complex,Eruption Dated,920 CE,1387,15.37,-61.33
360101,"Watt, Morne",Stratovolcano(es),Eruption Observed,1997 CE,1224,15.307,-61.305
360110,"Plat Pays, Morne",Stratovolcano,Eruption Dated,1270 CE,940,15.255,-61.341
360120,Pelee,Stratovolcano,Eruption Observed,1932 CE,1394,14.809,-61.165
360140,Qualibou,Caldera,Eruption Observed,1766 CE,777,13.83,-61.05
360150,Soufriere St. Vincent,Stratovolcano,Eruption Observed,2021 CE,1220,13.33,-61.18
360160,Kick 'em Jenny,Submarine,Eruption Observed,2017 CE,-185,12.3,-61.64
370010,Snaefellsjokull,Stratovolcano,Eruption Dated,200 CE,1446,64.8,-23.783
370030,Ljosufjoll,Fissure vent(s),Eruption Dated,960 CE,1063,64.9,-22.483
371020,Reykjanes,Crater rows,Eruption Observed,1831 CE,140,63.817,-22.717
371030,Krysuvik-Trolladyngja,Crater rows,Eruption Observed,2021 CE,360,63.917,-22.067
371040,Brennisteinsfjoll,Crater rows,Eruption Observed,1341 CE,610,63.933,-21.783
371050,Hengill,Crater rows,Eruption Dated,150 CE,803,64.083,-21.416
371080,Langjokull,Subglacial,Eruption Dated,950 CE,1100,64.85,-19.7
372010,Vestmannaeyjar,Submarine,Eruption Observed,1973 CE,283,63.416,-20.266
372020,Eyjafjallajokull,Stratovolcano,Eruption Observed,2010 CE,1651,63.633,-19.633
372030,Katla,Subglacial,Eruption Observed,1918 CE,1490,63.633,-19.083
372050,Torfajokull,Stratovolcano,Eruption Observed,1477 CE,1280,63.892,-19.122
372070,Hekla,Stratovolcano,Eruption Observed,2000 CE,1490,63.983,-19.666
373010,Grimsvotn,Caldera,Eruption Observed,2011 CE,1719,64.416,-17.316
373030,Bardarbunga,Stratovolcano,Eruption Observed,2015 CE,2000,64.633,-17.516
373050,Kverkfjoll,Stratovolcano,Eruption Observed,1968 CE,1930,64.653,-16.647
373060,Askja,Stratovolcano,Eruption Observed,1961 CE,1080,65.033,-16.783
373080,Krafla,Caldera,Eruption Observed,1984 CE,800,65.715,-16.728
373100,Tjornes Fracture Zone,Submarine,Eruption Observed,1868 CE,-75,66.309,-17.118
374010,Oraefajokull,Stratovolcano,Eruption Observed,1728 CE,2010,64.05,-16.633
375010,Kolbeinsey Ridge,Submarine,Eruption Observed,1755 CE,5,66.67,-18.5
376010,Jan Mayen,Stratovolcano,Eruption Observed,1985 CE,2197,71.082,-8.155
381040,Pico Fracture Zone,Submarine,Eruption Observed,1865 CE,-4200,38.75,-38.08
382010,Fayal,Stratovolcano,Eruption Observed,1958 CE,1043,38.6,-28.73
382020,Pico,Stratovolcano,Eruption Observed,1720 CE,2351,38.47,-28.4
382030,San Jorge,Fissure vent,Eruption Observed,1907 CE,1053,38.65,-28.08
382050,Terceira,Stratovolcano(es),Eruption Observed,2000 CE,1023,38.73,-27.32
382070,Don Joao de Castro Bank,Submarine,Eruption Observed,1720 CE,-13,38.23,-26.63
382080,Sete Cidades,Stratovolcano,Eruption Observed,1880 CE,856,37.87,-25.78
382081,Picos Volcanic System,Pyroclastic cone(s),Eruption Observed,1652 CE,350,37.78,-25.67
382090,Agua de Pau,Stratovolcano,Eruption Observed,1564 CE,947,37.77,-25.47
382100,Furnas,Stratovolcano,Eruption Observed,1630 CE,805,37.77,-25.32
382110,Monaco Bank,Submarine,Eruption Observed,1911 CE,-197,37.6,-25.88
383010,La Palma,Stratovolcano(es),Eruption Observed,1971 CE,2426,28.57,-17.83
383020,Hierro,Shield,Eruption Observed,2012 CE,1500,27.73,-18.03
383030,Tenerife,Stratovolcano,Eruption Observed,1909 CE,3715,28.271,-16.641
383040,Gran Canaria,Fissure vent(s),Eruption Dated,40 CE,1950,28,-15.58
383060,Lanzarote,Fissure vent(s),Eruption Observed,1824 CE,670,29.03,-13.63
384010,Fogo,Stratovolcano,Eruption Observed,2015 CE,2829,14.95,-24.35
385050,Ascension,Stratovolcano,Eruption Dated,1508 CE,858,-7.95,-14.37
385052,Walvis Ridge at 33°S,Submarine,Eruption Observed,2002 CE,-1200,-32.958,-5.22
386010,Tristan da Cunha,Shield,Eruption Observed,1962 CE,2060,-37.092,-12.28
386011,Nightingale Island,Stratovolcano,Eruption Observed,2004 CE,365,-37.42,-12.48
390010,Buckle Island,Stratovolcano,Eruption Observed,1899 CE,1239,-66.78,163.25
390015,Melbourne,Stratovolcano,Eruption Dated,1892 CE,2732,-74.35,164.7
390020,Erebus,Stratovolcano,Eruption Observed,2021 CE,3794,-77.53,167.17
390030,Deception Island,Caldera,Eruption Observed,1970 CE,602,-63.001,-60.652
390031,Penguin Island,Stratovolcano,Eruption Observed,1905 CE,180,-62.1,-57.93
390070,Southern Thule,Stratovolcano(es),Eruption Observed,1975 CE,1075,-59.442,-27.225
390080,Bristol Island,Stratovolcano,Eruption Observed,2016 CE,1100,-59.017,-26.533
390081,Montagu Island,Shield,Eruption Observed,2007 CE,1370,-58.445,-26.374
390090,Saunders,Stratovolcano,Eruption Observed,2021 CE,843,-57.8,-26.483
390100,Candlemas Island,Stratovolcano,Eruption Observed,1911 CE,550,-57.08,-26.67
390130,Zavodovski,Stratovolcano,Eruption Observed,2016 CE,551,-56.3,-27.57
390140,Protector Seamounts,Submarine,Eruption Observed,1962 CE,-55,-55.912,-28.167
